"","plot_name","NDVI","year","reserve","treatment","veg_category","site"
"197","BC BURN G02 ",0.659100557087963,2020,NA,NA,NA,NA
"198","BC BURN G03 ",0.658856951871658,2020,NA,NA,NA,NA
"199","BC BURN G04 ",0.654270647653001,2020,NA,NA,NA,NA
"200","BC BURN G05",0.644797286173901,2020,NA,NA,NA,NA
"201","BC BURN R01 ",0.892419175027871,2020,NA,NA,NA,NA
"202","BC BURN R02 ",0.846999807061547,2020,NA,NA,NA,NA
"203","BC BURN R03 ",0.895205479452055,2020,NA,NA,NA,NA
"204","BC BURN R04",0.65906862745098,2020,NA,NA,NA,NA
"205","BC BURN R05 ",0.65906862745098,2020,NA,NA,NA,NA
"206","BC BURN S01 ",0.769117647058824,2020,NA,NA,NA,NA
"207","BC BURN S02 ",0.886999328708884,2020,NA,NA,NA,NA
"208","BC BURN S03 ",0.863679628130282,2020,NA,NA,NA,NA
"209","BC BURN S04",0.873422781030843,2020,NA,NA,NA,NA
"210","BC BURN S05",0.759589896295862,2020,NA,NA,NA,NA
"211","BC UNBURN R01",0.880877192982456,2020,NA,NA,NA,NA
"212","BC UNBURN R02   ",0.863112882119434,2020,NA,NA,NA,NA
"213","BC UNBURN R03",0.890746934225195,2020,NA,NA,NA,NA
"214","BC UNBURN S01 ",0.879890718125136,2020,NA,NA,NA,NA
"215","BC UNBURN S02 ",0.8628223471797,2020,NA,NA,NA,NA
"216","BC UNBURN S03 ",0.857025984104428,2020,NA,NA,NA,NA
"217","BC UNBURN S04 ",0.660851158645276,2020,NA,NA,NA,NA
"218","BC UNBURN S05 ",0.660851158645276,2020,NA,NA,NA,NA
"219","BC BURN G01 ",0.517757692794815,2021,NA,NA,NA,NA
"220","BC BURN G02 ",0.481823594530354,2021,NA,NA,NA,NA
"221","BC BURN G03 ",0.527981379104429,2021,NA,NA,NA,NA
"222","BC BURN G04 ",0.507207387987259,2021,NA,NA,NA,NA
"223","BC BURN G05",0.421629422956183,2021,NA,NA,NA,NA
"224","BC BURN R01 ",0.461641282693914,2021,NA,NA,NA,NA
"225","BC BURN R02 ",0.514891395154553,2021,NA,NA,NA,NA
"226","BC BURN R03 ",0.44685483709874,2021,NA,NA,NA,NA
"227","BC BURN R04",0.48362121575445,2021,NA,NA,NA,NA
"228","BC BURN R05 ",0.48362121575445,2021,NA,NA,NA,NA
"229","BC BURN S01 ",0.252234690831182,2021,NA,NA,NA,NA
"230","BC BURN S02 ",0.601863736192094,2021,NA,NA,NA,NA
"231","BC BURN S03 ",0.462013438155304,2021,NA,NA,NA,NA
"232","BC BURN S04",0.435666641239257,2021,NA,NA,NA,NA
"233","BC BURN S05",0.39428137522227,2021,NA,NA,NA,NA
"234","BC UNBURN R01",0.816666666666667,2021,NA,NA,NA,NA
"235","BC UNBURN R02   ",0.512770618146974,2021,NA,NA,NA,NA
"236","BC UNBURN R03",0.742040754943981,2021,NA,NA,NA,NA
"237","BC UNBURN S01 ",0.414929061007131,2021,NA,NA,NA,NA
"238","BC UNBURN S02 ",0.545187628027356,2021,NA,NA,NA,NA
"239","BC UNBURN S03 ",0.472942047570073,2021,NA,NA,NA,NA
"240","BC UNBURN S04 ",0.517757692794815,2021,NA,NA,NA,NA
"241","BC UNBURN S05 ",0.517757692794815,2021,NA,NA,NA,NA
"242","BC BURN G01 ",0.56350821582336,2022,NA,NA,NA,NA
"243","BC BURN G02 ",0.589899549915525,2022,NA,NA,NA,NA
"244","BC BURN G03 ",0.571315963581783,2022,NA,NA,NA,NA
"245","BC BURN G04 ",0.573900564868475,2022,NA,NA,NA,NA
"246","BC BURN G05",0.571588363582467,2022,NA,NA,NA,NA
"247","BC BURN R01 ",0.730390920554855,2022,NA,NA,NA,NA
"248","BC BURN R02 ",0.619047619047619,2022,NA,NA,NA,NA
"249","BC BURN R03 ",0.673938679245283,2022,NA,NA,NA,NA
"250","BC BURN R04",0.584223592466572,2022,NA,NA,NA,NA
"251","BC BURN R05 ",0.584223592466572,2022,NA,NA,NA,NA
"252","BC BURN S01 ",0.694764862466726,2022,NA,NA,NA,NA
"253","BC BURN S02 ",0.869282206047695,2022,NA,NA,NA,NA
"254","BC BURN S03 ",0.736483897614236,2022,NA,NA,NA,NA
"255","BC BURN S04",0.710985353222796,2022,NA,NA,NA,NA
"256","BC BURN S05",0.648742982281413,2022,NA,NA,NA,NA
"257","BC UNBURN R01",0.828541666666667,2022,NA,NA,NA,NA
"258","BC UNBURN R02   ",0.769421204001918,2022,NA,NA,NA,NA
"259","BC UNBURN R03",0.765909090909091,2022,NA,NA,NA,NA
"260","BC UNBURN S01 ",0.714529914529915,2022,NA,NA,NA,NA
"261","BC UNBURN S02 ",0.813161368235458,2022,NA,NA,NA,NA
"262","BC UNBURN S03 ",0.729833113678843,2022,NA,NA,NA,NA
"263","BC UNBURN S04 ",0.56350821582336,2022,NA,NA,NA,NA
"264","BC UNBURN S05 ",0.56350821582336,2022,NA,NA,NA,NA
